x [m],y [m],T [K],Ma [-],v [m/s],dA_wall [m2],l_wall [m]
-0.3876,0,980,0.2,148,0,-0.101
-0.3876,0.1006,980,0.2,148,0,0
-0.3519,0.1006,1183,0.2,158,0.022565,0.036
-0.3162,0.1006,1732,0.2,184,0.022565,0.071
-0.2805,0.1006,2460,0.2,219,0.022565,0.107
-0.2448,0.1006,3150,0.2,251,0.022565,0.143
-0.2092,0.1006,3592,0.2,272,0.022565,0.178
-0.1735,0.1006,3668,0.204,282,0.022565,0.214
-0.1378,0.1006,3668,0.204,282,0.022565,0.25
-0.1021,0.1006,3668,0.204,282,0.022565,0.285
-0.0884,0.0999,3667,0.208,287,0.009121,0.299
-0.0749,0.0976,3666,0.218,301,0.009789,0.313
-0.0618,0.0938,3663,0.237,328,0.010092,0.327
-0.0491,0.0886,3659,0.268,370,0.010048,0.34
-0.0371,0.0819,3650,0.319,439,0.009671,0.354
-0.026,0.074,3633,0.404,555,0.008977,0.368
-0.0158,0.0649,3585,0.573,783,0.007973,0.381
-0.0085,0.06,3515,0.765,1034,0.003989,0.39
0,0.0584,3311,1.006,1315,0.003328,0.399
0.004,0.0587,3233,1.121,1448,0.001481,0.403
0.0115,0.0616,3048,1.372,1721,0.003106,0.411
0.045,0.0813,2523,2.041,2329,0.019095,0.45
0.0789,0.1005,2245,2.41,2594,0.02849,0.489
0.1134,0.1191,2055,2.681,2760,0.037486,0.528
0.1484,0.1371,1913,2.896,2878,0.046097,0.567
0.1838,0.1545,1803,3.076,2966,0.054332,0.607
0.2198,0.1714,1714,3.229,3036,0.062201,0.646
0.2562,0.1877,1640,3.362,3093,0.069712,0.686
0.2932,0.2034,1577,3.48,3139,0.07687,0.726
0.3306,0.2186,1524,3.585,3179,0.083682,0.767
0.3685,0.2332,1478,3.679,3213,0.09015,0.807
0.407,0.2472,1438,3.764,3242,0.096278,0.848
0.4459,0.2606,1402,3.842,3268,0.102067,0.89
0.4854,0.2735,1371,3.913,3290,0.107519,0.931
0.5253,0.2858,1342,3.977,3310,0.112631,0.973
0.5657,0.2975,1317,4.036,3328,0.117404,1.015
0.6066,0.3087,1295,4.091,3344,0.121834,1.057
0.6481,0.3192,1275,4.141,3358,0.125919,1.1
0.69,0.3292,1256,4.186,3371,0.129654,1.143
0.7324,0.3387,1240,4.228,3382,0.133035,1.187
0.7753,0.3475,1225,4.267,3392,0.136056,1.23
0.8187,0.3558,1212,4.302,3402,0.13871,1.275
0.8626,0.3635,1200,4.334,3410,0.140991,1.319
0.907,0.3706,1189,4.363,3417,0.142891,1.364
0.9519,0.3772,1179,4.389,3424,0.144402,1.41
